title,category,nltk_len,spacy_len,spacy_embed_len
"Towards Autonomous Transportation. Passengers’ Experiences, Perceptions and Feelings in a Driverless Shuttle Bus in Finland",Autonomous transport,304,267,276
"Autonomous Driving—Political, Legal, Social, and Sustainability Dimensions",Autonomous transport,595,545,579
Ericsson 5G powers environmentally friendly self-driving vehicles,Autonomous transport,6,6,6
Are autonomous vehicles really a game changer in sustainable urban mobility?,Autonomous transport,31,31,33
Efficient public transport for sustainable development,Autonomous transport,47,50,54
Autonomous Transport Systems,Autonomous transport,4,4,4
The Autonomous Vehicle Revolution: Implications for Planning,Autonomous transport,4,4,5
How Autonomous Vehicles Will Help Businesses Reduce Their Carbon Footprints,Autonomous transport,42,42,45
Volvo Autonomous Solutions,Autonomous transport,3,3,3
Autonomous Vehicles & Systems,Autonomous transport,26,26,26
Maximizing the environmental benefits of autonomous vehicles,Autonomous transport,33,32,38
Assessing the Long-term Effects of Autonomous Vehicles: A Speculative Approach,Autonomous transport,2,2,2
How Sustainable Transportation Drives Sustainable Cities,Autonomous transport,62,63,67
"Autonomous buses in public transport, a driverless future ahead? Pilots are multiplying",Autonomous transport,44,44,47
Sustainability of Self-Driving Mobility: An Analysis of Carbon Emissions Between Autonomous Vehicles and Conventional Modes of Transportation,Autonomous transport,1,1,1
Sustainable autonomous shipping: a step change in open ocean transport,Autonomous transport,109,110,120
"Autonomous vehicles could help cities address their climate goals, if they start planning now",Autonomous transport,34,34,35
Autonomous transport will shape our cities’ future – best get on the right path early,Autonomous transport,38,38,39
New Report: How Self-Driving Transport Will Affect the Oslo Region,Autonomous transport,28,28,30
Driverless cars raise questions about sustainability of future transport,Autonomous transport,22,25,24
Why are bicycles essential for liveable and sustainable cities?,Biking,32,32,34
"The 20 Most Bike-Friendly Cities on the Planet, Ranked",Biking,34,34,34
More Sustainable Cities with Better Bike Lanes,Biking,55,55,57
Reinventing the Wheel: Cycling as a Sustainable Mode of Mobility in Africa,Biking,52,51,52
Urban Cycling for a better Quality of Life,Biking,66,68,71
Why Cycling Makes Sense for Environmentally Sustainable Cities,Biking,26,26,27
Cycling for sustainable transport,Biking,23,25,27
Using Bicycles Efficiently to Create a Sustainable Society,Biking,89,88,96
Cycling is sustainable and healthy so why aren't more of us on our bikes?,Biking,51,50,53
A sustainability indicator to compare the bike friendliness of U.S. cities,Biking,38,38,38
Urban Sustainability and the Simple Bicycle,Biking,22,22,23
Rolling Toward a Better Future,Biking,21,21,20
Cycling and shared cycling,Biking,9,9,9
Travelling by bicycle,Biking,58,58,60
How to Save Bike-Sharing: An Evidence-Based Survival Toolkit for Policy-Makers and Mobility Providers,Biking,392,342,378
The economic contribution of public bike-share to the sustainability and efficient functioning of cities,Biking,1,1,2
Biking,Biking,18,18,19
Biking at Iowa,Biking,12,11,13
Bike Challenge 2019,Biking,25,25,25
Bike Share is Here!,Biking,38,38,42
Bike,Biking,27,27,28
Biking Benefits: Why You Should Pedal More,Biking,10,10,10
Green Bikes,Biking,60,60,69
Bike to Work Day 2019,Biking,3,3,3
Berea College Bike Club,Biking,25,25,26
"Sustainable Bikes Made of Recycled Plastic, Bamboo and Wood",Biking,19,19,20
Bike Share Program,Biking,10,10,11
Resources for Bikers,Biking,57,56,57
"Bike to work, get reimbursed",Biking,3,3,3
How to Build a Capsule Wardrobe That Will Last a Lifetime,Capsule wardrobe,72,74,89
How to Build a Capsule Wardrobe,Capsule wardrobe,81,82,87
Capsule Wardrobes: How to Build a Sustainable Closet for Life,Capsule wardrobe,35,38,39
How To Start A Capsule Wardrobe: 5 Step Visual Guide,Capsule wardrobe,92,92,94
"My version of an effortless, sustainable capsule wardrobe",Capsule wardrobe,83,83,85
How To Create A Capsule Wardrobe,Capsule wardrobe,23,23,23
The Spring 2020 Work Capsule Wardrobe,Capsule wardrobe,87,87,96
What Is A Capsule Wardrobe?,Capsule wardrobe,54,58,57
How to Create a Capsule Wardrobe,Capsule wardrobe,113,113,123
The Everygirl’s 2020 Spring Capsule Wardrobe,Capsule wardrobe,5,6,7
You’re Doing the ‘Capsule Wardrobe’ Wrong,Capsule wardrobe,40,45,45
HOW TO BUILD A MINIMALIST CAPSULE WARDROBE,Capsule wardrobe,53,53,52
A BEGINNERS GUIDE TO STARTING A CAPSULE WARDROBE: WHAT IS IT AND WHY DO I NEED ONE?,Capsule wardrobe,33,33,40
Creating A Capsule Wardrobe In 7 Easy Steps,Capsule wardrobe,61,61,62
6 Reasons A Capsule Wardrobe Might NOT Work for You,Capsule wardrobe,64,64,70
HOW TO BUILD A CAPSULE WARDROBE,Capsule wardrobe,59,59,64
10 CAPSULE WARDROBE ESSENTIALS FOR ENDLESS OUTFIT OPTIONS,Capsule wardrobe,165,165,185
How to Build a Travel Capsule Wardrobe,Capsule wardrobe,272,271,277
Capsule Wardrobes: 7 Benefits of Simplifying Your Wardrobe,Capsule wardrobe,57,57,57
The Ultimate Guide To Creating A Capsule Wardrobe That Works For You,Capsule wardrobe,137,138,145
The 27 pieces you need for the ultimate capsule wardrobe,Capsule wardrobe,36,36,37
Capsule wardrobe: How to declutter your life and closet,Capsule wardrobe,68,68,71
How to Build Your Own Capsule Wardrobe to Save Money,Capsule wardrobe,190,196,199
YOUR GUIDE TO CREATING THE PERFECT CAPSULE WARDROBE,Capsule wardrobe,98,98,99
What To Include In Your Capsule Wardrobe,Capsule wardrobe,24,24,26
"Why the Rich Use Capsule Wardrobes, and How to Create Your Own",Capsule wardrobe,91,91,97
I tried the popular 'capsule wardrobe' and whittled my closet down to just 30 items — here's why I'm never looking back,Capsule wardrobe,58,58,60
CAPSULE WARDROBES,Capsule wardrobe,4,4,4
"Style Experts Swear By Capsule Wardrobes, But What Exactly Are They?",Capsule wardrobe,58,65,68
Environmental Benefits Of Car Sharing,Car-sharing,38,38,38
The environmental benefits of car sharing,Car-sharing,41,41,41
Share Now Is the Latest Car-Share Service to Fold,Car-sharing,1,1,7
Here's How Many Cars This Car-Sharing Service Killed,Car-sharing,4,4,4
Sharing is caring,Car-sharing,27,27,27
Public transport and car sharing,Car-sharing,7,7,7
Car Sharing,Car-sharing,7,7,7
Car Sharing System,Car-sharing,41,40,46
Car Sharing,Car-sharing,7,7,7
Carpool and Car Share,Car-sharing,6,6,6
Sustainability measurement of product-service systems: Brazilian case studies about electric car-sharing,Car-sharing,4,4,5
"Car Sharing Systems as a Sustainable Transport Policy: A Case Study from Lisbon, Portugal",Car-sharing,9,10,9
Car Pooling or Car Sharing,Car-sharing,31,31,32
How to Start a Carpool That Lasts,Car-sharing,25,26,26
'Sustainable Transportation' brings carpooling alternatives to W&M,Car-sharing,24,29,29
Carpooling at Humber,Car-sharing,4,4,4
Embracing Sustainable Transportation: Carpooling to Work (in an Electric Vehicle),Car-sharing,12,12,13
Carpooling tips and FAQs,Car-sharing,43,43,45
Why Do They Ride with Others? Meta-Analysis of Factors Influencing Travelers to Carpool,Car-sharing,310,258,278
Benefits of Carpooling,Car-sharing,14,14,14
Share a Ride,Car-sharing,11,11,11
"Businesses offer transit, carpooling incentives as recruitment, sustainability tool",Car-sharing,54,53,53
Transitioning to a Smart Commute,Car-sharing,38,37,39
Sustainable Transportation at the U of S,Car-sharing,14,14,16
Sharing a Ride Saves Money and Natural Resources,Car-sharing,23,23,24
Cement Industry Sustainability Manufacturing Program,Cement production,17,17,18
Sustainable cement production—present and future,Cement production,1,1,2
An overview of environmental sustainability in cement and steel production,Cement production,1,1,3
Building a Sustainable Future with Emission-Free Cement,Cement production,31,33,34
A step towards sustainable development: Cement production facilities in Mexico,Cement production,26,26,27
Increasing Sustainability in Cement Production and Construction Sector,Cement production,28,28,29
Cement Sustainability Initiative data shows no change in CO2 emissions,Cement production,9,9,9
Cement Sustainability Initiative (CSI),Cement production,10,10,15
Sustainable cement production-present and future,Cement production,37,37,37
Sustainable solutions: how cement production uses everyday waste,Cement production,3,3,3
Vicem and FLSmidth target sustainable cement production,Cement production,3,3,3
FLSmidth: FLSmidth and VICEM will jointly work towards sustainable cement production in Vietnam,Cement production,4,4,4
Approaches for sustainable cement production - A case study from Turkey,Cement production,7,7,8
Role of Cement Science in Sustainable Development,Cement production,1,1,1
Sustainable Cement and Quicklime Production the Focus of New Research Centre in Sweden ,Cement production,11,11,11
Investigation of CO2 reduction for sustainable cement manufacturing,Cement production,11,10,10
Sustainable Production and Resource Scarcity,Cement production,3,3,3
Vattenfall and Cementa focusing on zero emissions,Cement production,17,17,17
Cement for sustainable construction,Cement production,4,4,4
A comparative life cycle assessment for sustainable cement production in Turkey,Cement production,44,56,58
Sustainable cement production – can concentrated solar power replace fossil fuels?,Cement production,30,31,33
Sustainable Cement,Cement production,91,91,92
Eco-efficient CEM II cement,Cement production,7,7,8
Sustainable Cement Production: Co-Processing of Alternative Fuels and Raw Materials in the European Cement Industry,Cement production,5,5,5
"Graphene-reinforced cement is tougher, more resilient and more sustainable",Cement production,15,16,18
Microalgae cultivation for the production of biomass-based sustainable cement and energy,Cement production,22,22,23
Sustainable cement production the focus of Turkish cement producers,Cement production,29,29,32
"The chemical industry can achieve a 36% reduction in annual greenhouse gas emissions by 2050, study shows",Chemicals production,16,16,18
Industrial energy use and carbon emissions reduction in the chemicals sector: A UK perspective,Chemicals production,2,2,2
Infographic: Chemical Industry’s Energy Use and Emissions,Chemicals production,4,4,4
Carbon Dioxide (CO2) Emissions Reduction,Chemicals production,3,3,3
Reducing CO2 emissions in the chemicals industry,Chemicals production,52,51,56
How to build a more climate-friendly chemical industry,Chemicals production,75,75,80
Our Carbon Management,Chemicals production,10,10,11
CO2 emissions and reduction potential in China’s chemical industry,Chemicals production,10,10,10
Industrial energy use and carbon emissions reduction in the chemicals sector: A UK perspective,Chemicals production,881,859,941
Putting CO2 to Use,Chemicals production,225,225,227
Emissions from manufacturing industry decrease,Chemicals production,84,84,88
Reducing Total GHG Emissions,Chemicals production,29,28,29
Greenhouse gas emissions unchanged in 2017,Chemicals production,34,34,35
EU Industries’ Masterplan: To use “avoided” emissions as justification for inaction,Chemicals production,48,46,49
Reducing Greenhouse Gas Emissions,Chemicals production,15,15,17
Forecast and Analysis on Reducing China’s CO2 Emissions from Lime Industrial Process,Chemicals production,243,239,258
Emissions of carbon dioxide dramatically reduced in new chemical production process,Chemicals production,16,19,21
‘Cracker of the Future’ Consortium Formed to Reduce Carbon Emissions,Chemicals production,27,28,31
Replacing Petroleum with Wood in Chemical Industry to Reduce CO2 Emissions,Chemicals production,2,2,2
Cracker consortium aims to reduce carbon emissions,Chemicals production,30,32,37
Chemical manufacturing resource efficiency,Chemicals production,13,13,13
Nouryon reduces carbon dioxide emissions with additional bio-steam supply,Chemicals production,1,1,1
GHG Emissions and Intensity by Chemical Manufacturing Subsector (2006),Chemicals production,6,5,10
Technology experts from the chemical industry want to reduce CO2 emissions through collaboration,Chemicals production,2,2,3
Cement Producers Are Developing a Plan to Reduce CO2 Emissions,Chemicals production,84,84,90
8 Transforming Furniture Solutions for Small-Space Living,Compact Living,52,52,53
10 space-saving furniture designs for small homes,Compact Living,15,15,15
"Smart Solution for Compact Living: Tiny Apartments, High Design",Compact Living,21,20,22
24 SMALL SPACE LIVING HACKS THAT MAKE A BIG IMPACT,Compact Living,59,59,65
Furniture for a Compact Living Space,Compact Living,72,71,71
8 Smart Furniture Solutions For Small Homes,Compact Living,39,39,40
Space-Savvy Solutions For 5 Tiny (And Tricky) Spaces,Compact Living,95,96,101
"Home, Transformed",Compact Living,22,22,23
Creative Compact Living For Marginalized Urbanites,Compact Living,24,24,25
Practically one more room,Compact Living,20,21,22
Compact Living Cube Multi-Functional Furniture and Storage,Compact Living,16,20,21
"50 Small Studio Apartment Design Ideas (2019) – Modern, Tiny & Clever",Compact Living,225,225,229
28 Really Clever Transforming Furniture (With Images),Compact Living,166,166,180
Small Space Shape Shifters: 13 Transforming Furniture Designs,Compact Living,16,16,16
11 pieces of transforming furniture that work wonders for small spaces,Compact Living,30,30,30
Space Saving Furniture,Compact Living,35,35,35
8 Ingenious Transforming Furniture Pieces For Small Spaces,Compact Living,180,180,189
Cool convertible furniture that transforms before your eyes,Compact Living,2,2,2
Transforming With Multifunctional Furniture,Compact Living,44,44,45
Ikea is introducing robotic furniture for people who live in small spaces,Compact Living,18,19,19
33 Transforming Furniture Ideas For Kids Room,Compact Living,32,32,33
Top 10 Transforming Furniture for Small Apartments,Compact Living,49,51,49
Transforming Modular Furniture System Makes Micro-Apartment Livable for a Family,Compact Living,24,24,24
5 'Transforming' Furniture Designs That Maximize Your Space,Compact Living,20,20,21
Transformer Furniture for Small-Space Living,Compact Living,22,22,22
IKEA’s New Invention Fits 4 Different Rooms Into 115 Square Feet,Compact Living,19,19,19
Transformer Furniture: 7 Objects That Aren't What They Seem,Compact Living,17,18,25
Reclaiming daylight through sustainable design,Daylight architecture,22,22,24
Passive Daylighting Systems Could Transform the Architecture of Natural Light,Daylight architecture,91,91,91
There's No Good Architecture Without Daylight: How to Promote Designs Molded and Nurtured by Light,Daylight architecture,60,59,59
Principles of Sustainable Design: Lighting and Daylighting,Daylight architecture,25,25,27
Lighting Design for Health and Sustainability: A Guide for Architects,Daylight architecture,5,4,5
Advanced Daylight Technologies For Sustainable Architectural Design,Daylight architecture,243,239,261
Light Matters: 7 Ways Daylight Can Make Design More Sustainable,Daylight architecture,62,63,65
Advanced Daylighting Technologies for Sustainable Architecture Design,Daylight architecture,7,7,7
Sustainable Design,Daylight architecture,32,32,33
Daylight and Architectural Simulation of the Egebjerg School (Denmark): Sustainable Features of a New Type of Skylight,Daylight architecture,91,66,72
Sustainable Design Continues to Ascend in 2019,Daylight architecture,86,87,102
Architectural lighting design,Daylight architecture,287,255,275
We Must Maximize the Use of Daylight in Buildings to Reduce Energy Use,Daylight architecture,56,54,60
Natural Light and Sustainable Architecture,Daylight architecture,122,125,131
The Benefits of Daylighting in Your Building,Daylight architecture,46,46,49
Green Building Design,Daylight architecture,3,3,3
Daylighting,Daylight architecture,80,80,80
Here comes the sun: A primer on sustainable building orientation,Daylight architecture,38,37,38
Sustainable design for zero carbon architecture,Daylight architecture,3,3,3
The Power of Daylight Design,Daylight architecture,52,52,54
The smart use of glass in sustainable buildings,Daylight architecture,4,10,5
Architecture for Well-Being and Health,Daylight architecture,409,389,378
11 Beautiful Examples of Sustainable Office Design,Daylight architecture,24,24,25
Achieving sustainable building,Daylight architecture,36,34,36
Optimal investigation of daylighting and energy efficiency in industrial building using energy-efficient velux daylighting simulation,Daylight architecture,4,4,5
The Benefits of Natural Light,Daylight architecture,83,92,98
Sustainable design connected to light and nature,Daylight architecture,32,32,32
"Drones, the Great Ally of Sustainability",Drone,13,12,13
Drones at the centre of our sustainable future,Drone,46,45,45
Sustainable Design and Construction with Drones,Drone,59,62,63
Impact of drone delivery on sustainability and cost: Realizing the UAV potential through vehicle routing optimization,Drone,1,1,2
Drones for sustainability,Drone,3,2,2
Modeling the Sustainability of Small Unmanned Aerial Vehicles Technologies: Final Report,Drone,38,38,40
Five ways drones are being used to help the environment,Drone,42,43,45
Why Drones Are Important in Sustainable Agriculture in the 21st Century,Drone,29,35,37
Drones: Propelling Sustainable Development,Drone,166,164,172
Mathematical Investigation on the Sustainability of UAV Logistics,Drone,271,226,259
Drone on the range: Farmers take to the skies to save water and money,Drone,18,22,22
Drone-based remote diagnostics,Drone,20,20,20
"Doosan drone wins honours for innovation, sustainability",Drone,10,10,14
How drones are reshaping agriculture,Drone,14,16,17
"Drone monitoring of ship emissions could save lives, protect health",Drone,38,40,43
New Drone Project to Spur Climate-Smart Growth for Benin’s Critical Cashew Industry,Drone,20,22,22
"Bi-directional drones to strengthen healthcare provision: experiences and lessons from Madagascar, Malawi and Senegal",Drone,145,144,163
Drones Will Help Save The Environment. Here’s How,Drone,94,94,95
Drones Boost Sustainability in Oil Palm Plantations,Drone,35,37,38
Using drone technology across the globe,Drone,3,3,3
Forestry,Drone,6,6,6
How Sustainable Are Manufactured Drones?,Drone,45,45,48
Austrian Airlines Relies on Innovative Drone Technology for Aircraft Inspections,Drone,4,4,4
Could drone deliveries help us reduce our carbon footprint?,Drone,21,31,32
Koppert Cress optimizes sustainable cultivation with smart drones for crop protection,Drone,13,13,14
EU wide rules on drones published,Drone,13,13,14
Sensor Solutions that Support Power Drone Innovation,Drone,30,31,30
"Oregon Believes Drones, Blockchain Can Better Support Ag",Drone,83,83,91
What are eco-drones?,Drone,24,24,27
"Health Information Systems: Concepts, Methodologies, Tools, and Applications: Concepts, Methodologies, Tools, and Applications",E-health,1,1,1
"Advances and New Trends in Environmental Informatics: Managing Disruption, Big Data and Open Science",E-health,1,1,1
"Developing an E-Health Strategy: A Commonwealth Workbook of Methodologies, Content and Models",E-health,2,2,2
"FCC Record: A Comprehensive Compilation of Decisions, Reports, Public Notices, and Other Documents of the Federal Communications Commission of the United States",E-health,1,1,1
How to Measure Costs and Benefits of eHealth Interventions: An Overview of Methods and Frameworks,E-health,457,452,489
Adoption of routine telemedicine in Norwegian hospitals: progress over 5 years,E-health,381,375,369
Benefits of Digital Health,E-health,5,5,5
Estimating travel reduction associated with the use of telemedicine by patients and healthcare professionals: proposal for quantitative synthesis in a systematic review,E-health,4,4,4
Telehealth Use in Rural Healthcare,E-health,179,184,195
Moving towards Sustainable Electronic Health Applications,E-health,256,258,278
Factors affecting sustainable adoption of e-health technology in developing countries: an exploratory survey of Nigerian hospitals from the perspective of healthcare professionals,E-health,195,202,193
Barriers and opportunities to implementation of sustainable e-Health programmes in Uganda: A literature review,E-health,120,115,135
Sustainable Adoption of Digital Health Innovations: Perspectives From a Stakeholder Workshop,E-health,181,180,211
E-Health,E-health,13,13,13
How Can Digital Health Technologies Contribute to Sustainable Attainment of Universal Health Coverage in Africa? A Perspective,E-health,311,318,344
Health in the Digital Society. How digital tools and the eHealth agency can help improve Romania’s healthcare system performance and sustainability,E-health,9,9,11
Data Mining Trends and Applications in Criminal Science and Investigations,E-health,1,1,1
Health Care Information Systems: An Introduction for Students and Professionals,E-health,1,1,1
Case study: Telemedicine helped cut avoidable hospitalizations at New York SNF,E-health,9,9,10
Impact of After-Hours Telemedicine on Hospitalizations in a Skilled Nursing Facility,E-health,129,140,145
Digitizing healthcare—opportunities for Germany,E-health,131,131,144
Assessment of the Cost-Effectiveness and Clinical Outcomes of a Fourth-Generation Synchronous Telehealth Program for the Management of Chronic Cardiovascular Disease,E-health,235,235,248
Wearable Electronics and Embedded Computing Systems for Biomedical Applications,E-health,2,2,2
Avoiding Hospitalizations with In-Home Care,E-health,9,9,9
Encyclopedia of E-Health and Telemedicine,E-health,1,1,1
From sickcare to healthcare,E-health,50,52,56
How to develop a sustainable telemedicine service? A Pediatric Telecardiology Service 20 years on - an exploratory study,E-health,644,623,631
How Telehealth Can Reduce Healthcare Wait and Travel Times,E-health,29,29,29
Telemedicine in Dermatology,E-health,1,1,1
The Myth Around Electric Vehicles: Are They Really Eco-friendly?,Electric car,44,45,46
5 Sustainability Insights into the Electric Vehicle Debate,Electric car,26,26,26
Are Electric Vehicles Really Better For The Environment?,Electric car,26,27,27
Are electric cars as sustainable as they sound?,Electric car,39,39,41
How Much Does an Electric Car Save?,Electric car,24,24,25
Electric Vehicles vs. Fuel-Efficient Used Cars: Which really drives sustainability?,Electric car,41,41,44
How sustainable is electric mobility? A comprehensive sustainability assessment approach for the case of Qatar,Electric car,2,2,4
How green are electric cars?,Electric car,19,19,23
Electric vehicles: a smart choice for the environment,Electric car,57,57,58
Sustainable Transportation Solutions: Electric Vehicles,Electric car,14,14,14
How Sustainable Are Electric Vehicles Really?,Electric car,60,62,65
"Are Electric Cars Sustainable? Please, Think in Systems!",Electric car,4,4,4
Why it is Worth Switching over to Electric Cars now,Electric car,65,64,67
Electric Vehicles Drive a Sustainable Future,Electric car,17,19,20
Mapping the Road to Decarbonization in Northeast Energy Markets,Electric car,16,16,16
Electric vehicles,Electric car,5,5,5
Electric vehicles & the environment,Electric car,15,15,16
EV Charge Up! The County’s Electric Vehicle Charging Program,Electric car,18,18,17
Electric vehicles will need a ‘confidence boost’,Electric car,21,28,30
Automakers Retool Marketing Machines as They Go Electric,Electric car,68,70,77
An Exciting Crop of Electric Cars at the New York International Auto Show Proves that Sustainability Can Fit With Cutting-Edge Design,Electric car,44,51,52
Electric Cars & Sustainability,Electric car,40,41,43
Not so fast: why the electric vehicle revolution will bring problems of its own,Electric car,53,53,56
Sustainability with electric cars,Electric car,24,25,28
BMW Group’s Electric Vehicle Push Advances Sustainability Goals,Electric car,5,5,5
Electric cars can help drive a green future,Electric car,51,51,53
How to choose the best battery for a solar energy system,Energy storage,45,43,43
Getting to 100% renewables requires cheap energy storage. But how cheap?,Energy storage,131,138,142
The Importance of Battery Storage for Sustainable Energy,Energy storage,47,48,48
Why energy storage?,Energy storage,16,17,18
Redox flow batteries for renewable energy storage,Energy storage,343,300,298
Energy storage,Energy storage,8,8,8
"First Comes Renewable Energy, Then Comes Battery Storage, Then Comes ???",Energy storage,57,60,65
Electricity Storage,Energy storage,11,10,12
Utility-Scale Energy Storage Will Enable a Renewable Grid,Energy storage,23,23,23
Battery Energy Storage,Energy storage,17,17,18
Declining Renewable Costs Drive Focus on Energy Storage,Energy storage,110,119,123
Battery storage,Energy storage,27,26,28
Financing battery storage+renewable energy,Energy storage,1,1,1
Solar-Plus-Storage 101,Energy storage,60,59,61
6 Promising Energy Storage Options to Tie into the Grid,Energy storage,9,9,9
New Thermal Battery Could Be A 'Game Changer' For Storing Renewable Energy,Energy storage,40,44,48
Global energy storage,Energy storage,47,47,47
5 Tangible Advances for Long-Duration Energy Storage in 2019,Energy storage,71,71,75
Energy storage,Energy storage,24,24,26
Decentralised solutions,Energy storage,26,25,26
The battery decade: How energy storage could revolutionize industries in the next 10 years,Energy storage,114,113,119
Energy Storage,Energy storage,18,17,17
Energy Storage,Energy storage,6,6,6
100% Renewable Energy Needs Lots of Storage. This Polar Vortex Test Showed How Much,Energy storage,51,51,57
Top 10 Developments in Renewable Energy Storage Technologies,Energy storage,74,73,77
Which new energy storage technologies might outcompete lithium-ion in the 2020’s?,Energy storage,38,42,43
Why battery energy storage is key to renewables' growth,Energy storage,27,26,27
Green Ovations | A Broad Overview of Renewable Energy Storage,Energy storage,142,139,145
ECHY: Solar Lighting With Fiber Optics,Fiber optic cables,3,3,3
Final Report: Hybrid Fiber Optic LED Lighting,Fiber optic cables,3,3,4
Design and Development of a Fiber-Optic Hybrid Day-Lighting System,Fiber optic cables,221,222,211
Fibre optic solar lighting,Fiber optic cables,1,1,1
Sustainable Technology- Fiber-Optic Lighting,Fiber optic cables,10,10,10
A review study on the application of the fibre optic daylighting system in Malaysian buildings,Fiber optic cables,5,5,5
Parans Sunlight Transport System,Fiber optic cables,10,10,10
Optimizing Natural Light Distribution for Indoor Plant Growth Using PMMA Optical Fiber: Simulation and Empirical Study,Fiber optic cables,242,242,244
Design of a Hybrid Fiber Optic Daylighting and PV Solar Lighting System,Fiber optic cables,2,2,2
Solros Real Light: Swedish Device Brings Real Sunlight Where Needed,Fiber optic cables,23,23,26
Sustainable Lighting,Fiber optic cables,38,38,40
The Beginners Guide to Fiber Optics,Fiber optic cables,294,293,308
Fibre Optic Lighting,Fiber optic cables,2,2,2
Parans Solar Lighting AB,Fiber optic cables,12,12,13
Can Fiber Optics Cables be Used to Transport Solar Light and Heat?,Fiber optic cables,10,10,10
Raising awareness on sustainable development by employing light-based solutions: interview with Dr. Mukul Chandra Paul,Fiber optic cables,97,98,101
Sustainable Construction: Green Building Design and Delivery,Fiber optic cables,2,2,2
Hybrid Fiber Optic LED Lighting,Fiber optic cables,28,28,28
Sustainable Renovation: Strategies for Commercial Building Systems and Envelope,Fiber optic cables,2,2,2
Where Solar Concentrators and Energy Efficient Lights Meet,Fiber optic cables,39,39,40
Parans Solar Lighting Releases Fourth-Generation of Sunlight Fiber Options,Fiber optic cables,13,14,16
UFO Led Light Sources - The Sustainable and Cost Effective Option for Fibre Illumination,Fiber optic cables,6,6,6
Delivering a sustainable future – what role can full fibre play?,Fiber optic cables,92,95,104
Parans Solar Lighting,Fiber optic cables,12,12,13
Technology that makes food waste prevention easy,Food Waste management solutions,34,34,35
